Driver,LapNumber,Compound,TyreLife,Position,LapTimeSeconds,PitThisLap,PitStopDuration,Year,Race,GridPosition,DNF,FinalPosition,StintNumber,DegradationRate,PositionMomentum,RaceCompletion,CompoundEncoded,GapToLeaderPace,RelativeTyreAge,LapsSincePit
BOT,38.0,HARD,9.0,6.0,87.886,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,14.403000000000006,-0.6,0.6551724137931034,2.0,1.5649999999999977,-4.875,8.0
BOT,39.0,HARD,10.0,6.0,87.96,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,5.567000000000003,-0.4,0.6724137931034483,2.0,1.8569999999999993,-4.875,9.0
BOT,40.0,HARD,11.0,6.0,88.481,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,1.2469999999999999,-0.4,0.6896551724137931,2.0,1.9289999999999878,-4.875,10.0
BOT,41.0,HARD,12.0,6.0,88.224,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,1.3596666666666692,-0.4,0.7068965517241379,2.0,1.9230000000000018,-4.875,11.0
BOT,42.0,HARD,13.0,6.0,88.36,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,1.4930000000000045,0.0,0.7241379310344828,2.0,1.8970000000000056,-4.875,12.0
BOT,43.0,HARD,14.0,6.0,88.327,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,1.4416666666666724,0.0,0.7413793103448276,2.0,1.8900000000000006,-4.875,13.0
BOT,44.0,HARD,15.0,6.0,88.27,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,1.4570000000000032,0.0,0.7586206896551724,2.0,1.461999999999989,-4.875,14.0
BOT,45.0,HARD,16.0,6.0,87.839,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,1.283333333333336,0.0,0.7758620689655172,2.0,1.070999999999998,-4.875,15.0
BOT,46.0,HARD,17.0,6.0,88.039,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,1.1873333333333373,0.0,0.7931034482758621,2.0,1.0109999999999957,-4.875,16.0
BOT,47.0,HARD,18.0,6.0,87.849,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,1.0470000000000066,0.0,0.8103448275862069,2.0,1.2070000000000078,-4.875,17.0
BOT,48.0,HARD,19.0,5.0,88.527,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,1.2763333333333406,-0.2,0.8275862068965517,2.0,2.097999999999999,-4.875,18.0
BOT,49.0,HARD,20.0,5.0,87.239,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,1.009666666666675,-0.2,0.8448275862068966,2.0,0.7319999999999993,-2.9375,19.0
BOT,50.0,HARD,21.0,5.0,87.13,0,0.0,2021,Abu Dhabi,6.0,0,6.0,1,0.7700000000000055,-0.2,0.8620689655172413,2.0,0.7019999999999982,-2.9375,20.0
